company_name,URL
Around,https://www.around.co
Karbon,http://karbonhq.com
Artizan Biosciences,http://artizanbiosciences.com/
EBlu Solutions,http://eblusolutions.com/
Stuart Therapeutics,http://www.stuarttherapeutics.com/
PlexTrac,https://plextrac.com/
LiquidStack,https://liquidstack.com/
Project Canary,https://www.projectcanary.com/
Allganize,https://www.allganize.ai/
Eirion Therapeutics,http://www.eirionthera.com/
Counterpart,https://www.yourcounterpart.com/
Boston Immune Technologies & Therapeutics,http://www.bostonimmunetech.com
AcreTrader,https://www.acretrader.com
Tavotek Biotherapeutics,https://tavotek.com/
42Layers,https://42Layers.io
Galaxy Medical,https://www.galaxymed.com/
Twine,https://www.twinelabs.com/
Brave Care,https://www.bravecare.com/
Avvir,http://Avvir.io
