company_name,URL
Platt College,www.plattcolleges.edu
TCAT Murfreesboro,tcatmurfreesboro.edu
Harris School of Business,harrisschool.edu
Brown Mackie College,www.brownmackie.edu
Vatterott College,www.vatterott.edu
Beauty Schools of America,www.bsa.edu
The Salon Professional Academy,www.thesalonprofessionalacademy.com
Toni & Guy Hairdressing Academy,tigihairdressingacademy.com
Aspen University,aspen.edu
Paul Mitchell Schools - Gastonia,paulmitchell.edu
City University of Seattle,cityu.edu
Tricoci University of Beauty Culture,tricociuniversity.edu
Edward Via College of Osteopathic Medicine,vcom.edu
Ogle School,ogleschool.edu
The Salon Professional Academy,tspaftmyers.com
Brown Mackie College,brownmackie.edu
California Hair Design Academy,chdaschools.com
Stautzenberger,stautzenberger.com
Icahn School of Medicine at Mount Sinai,mssm.edu
The University of the Arts,uarts.edu
Technical College of the Lowcountry,tcl.edu
DigiPen Institute of Technology,digipen.edu
Laurus College,lauruscollege.edu
Hunter Business School,hunterbusinessschool.edu
LeTourneau University,letu.edu
Blue Cliff College,bluecliffcollege.com
McCann School of Business & Technology,mccann.edu
The Art Institutes,aii.edu
Branford Hall Career Institute,branfordhall.com
Culinary Institute of America,culinary.edu
Southern Careers Institute,scitexas.edu
International Business College,https://ibcindianapolis.edu/
Sinte Gleska University,http://www.sintegleska.edu/
California Hair Design Academy,https://chdaschools.com/
College for Creative Studies,https://www.collegeforcreativestudies.edu/
Wilmington College,https://www.wilmington.edu/
Wyotech,https://www.wyotech.edu/
Ringling College of Art and Design,https://www.ringling.edu/
Otis College of Art and Design,https://www.otis.edu/
Peirce College,http://www.peirce.edu/
Wheelock College,Wheelock College of Education & Human Development (bu.edu)
Coker College,https://www.coker.edu/
Dunwoody College of Technology,https://dunwoody.edu/
Columbus College of Art and Design,https://www.ccad.edu/
Manhattan School of Music,https://www.msmnyc.edu/
Lincoln College,lincolncollege.edu
The University of the Arts,https://www.arts.ac.uk/
California Institute of the Arts,https://calarts.edu/
Everglades University,https://www.evergladesuniversity.edu/
Johnson C Smith University,https://www.jcsu.edu/
Walsh College of Accountancy and Business Administration,https://www.walshcollege.edu/
Walla Walla University,https://www.wallawalla.edu/
Rhode Island School of Design,https://www.risd.edu/
Maryland Institute College of Art,https://www.mica.edu/
California College of the Arts,https://www.cca.edu/
Art Center College of Design,http://www.artcenter.edu/
Dominican College of Blauvelt,https://www.dc.edu/
Vaughn College of Aeronautics and Technology,https://www.vaughn.edu/
Rose-Hulman Institute of Technology,https://www.rose-hulman.edu/
Hardin-Simmons University,https://www.hsutx.edu/
Keuka College,https://www.keuka.edu/
Ranken Technical College,https://ranken.edu/
Stevens Institute of Technology,https://www.stevens.edu/
University of Northwestern Ohio,https://www.unoh.edu/
West Coast University,westcoastuniversity.edu
Berklee College of Music,https://www.berklee.edu/
Culinary Institute of America,https://www.ciachef.edu/
School of the Art Institute of Chicago,https://www.saic.edu/
Southeastern University,https://www.seu.edu/
Harrisburg University of Science and Technology,https://harrisburgu.edu/
Miller-Motte College,www.miller-motte.edu
Illinois Institute of Technology,https://www.iit.edu/
Davenport University,https://www.davenport.edu/
Wentworth Institute of Technology,https://wit.edu/
New York Institute of Technology,https://www.nyit.edu/
American Sentinel University,https://www.americansentinel.edu/
Grantham University,https://www.grantham.edu/
Indiana Institute of Technology,https://www.indianatech.edu/
Florida Institute of Technology,https://www.fit.edu/
